rack2,,,,,,Cable Lengths,,,,,,,,,,
,Front Mounted,Rear Mounted,Order Number,PS 1 ,PS 2,Card Installs/notes,IB Route,IB Length,CAT6 Route,CAT6 Length,25GbE SFP28 Route,25GbE SFP28 Length,100GbE MPO Route,100GbE MPO Length,QSFP112 Route,QSFP112 Length
L3,C3WG36RLDQJE2MT2 PDU - L2,,,,Down,IEC 60309 208V 3Ø 60A,(18) C13 + (18) Cx         407-BBOS - use transceiver in U22,,(1) CAT6 to U22,(1) 3ft,,,,,,
L4,C3WG36RLDQJE2MT2 PDU - L1,,,,Down,IEC 60309 208V 3Ø 60A,(18) C13 + (18) Cx,,(1) CAT6 from PDU L3,(1) 1ft,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,Color Codes,,,,Inter-Rack Cables will go out the TOP of the Rack,,,"Ship rack with IB rack-to-rack cables bundled in top of rack. 
See IB label tab - ISLs should be bundled following the color coding on the cable labels. Insure that all cable ends are at the same length. Coil any excess half way through the bundle or inside the rack if needed.",,,,,,,,
,Head Node,,1G Ethernet Switch,,,,,,,,,,,,,
,Login Node,,10G Ethernet Switch,,,,,,,,,,,,,
,Compute Node,,Infiniband Switch,,,,,,,,,,,,,
,GPU Node,,,,,,,,,,,,,,,
,Big Mem Node,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,PDU 1,,,,,,,,,,,,,,,
,PDU 2,,,,,,,,,,,,,,,
,PDU 3,,,,,,,,,,,,,,,
,PDU 4,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
